
ng_id,gsp_id,gsp_name,region_name
1,1,COWL_1,Cowley
2,2,ECLA_1,East Claydon
3,3,ENDE_1,Enderby
4,4,GREN_1,Grendon
5,5,RATS_1,Ratcliffe
6,6,STAY_1,Staythorpe
7,7,SBAR,Stoke Bardolph
8,8,WBUR_1,West Burton
9,9,BRWA1,Bridgewater
10,10,MITY_1,Minety
11,11,TAUN1,Taunton
12,12,CAMB_01,Camblesforth
13,13,DRAX_1,Drax
14,14,GRIW_1,Grimsby West
15,15,KEAD_1,Keadby
16,16,OSBA_1,Osbaldwick
17,17,BARKC1,Barking
18,18,BARKW3,Barking
19,19,BEDDT1,Beddington (_C)
20,20,BEDD_1,Beddington (_J)
21,21,BRIM_1,Brimsdown
22,22,CITR_1,City Road
23,23,EALI_6,Ealing
24,24,HACK_1,Hackney
25,25,HACK_6,Hackney
26,26,HURS_1,Hurst
27,27,NFLE,Northfleet East
28,28,REBR_3,Redbridge
29,29,SJOW_1,St Johns Wood
30,30,TOTT_1,Tottenham
31,31,WHAM_1,West Ham
32,32,WISD_1,Willesden 132kV
33,33,WIMBS1,Wimbledon
34,34,WIMBN1,Wimbledon
35,35,BIRK_1,Birkenhead
36,36,FIDF_1,Fiddlers Ferry
37,37,KIBY_1,Kirkby (_D)
38,38,KIBY_G,Kirkby (_G)
39,39,LISD_1,Lister Drive
40,40,PENW_1,Penwortham
41,41,PENE_1,Penwortham
42,42,RAIN_1,Rainhill
43,43,WASF_1,Washway Farm
44,44,CHIC_1,Chickerell
45,45,FOUR_1,Fourstones
46,46,FROD_1,Frodsham
47,47,IMPK_1,Imperial Park
48,48,MAGA_6,Margam
49,49,PYLE_1,Pyle
50,50,SALH_1,Saltholme
51,51,TEMP_3,Templeborough
52,52,TRAW_1,Trawsfynydd
53,53,TYNE_2,Tynemouth
54,54,BICF_1,Bicker Fen
55,55,BRAI_1,Braintree
56,56,BURM_1,Burwell Main
57,57,EASO_1,Eaton Socon
58,58,IVER_1,Iver 132kV
59,59,IVER_6,Iver 66kV
60,60,KINO_1,Kingsnorth
61,61,LALE1SG003,Laleham
62,62,LODR_6,Lodge Road
63,63,MILH_1,Mill Hill
64,64,NHYD_6,North Hyde
65,65,PELH_1,Pelham
66,66,RAYL_1,Rayleigh
67,67,RYEH_1,Rye House
68,68,SUND_1,Sundon
69,69,WARL_1,Warley
70,70,WATFS_1,Watford South
71,71,WTHU31,West Thurrock
72,72,WWEY_1,West Weybridge
73,73,WYMOM_1,Wymondley
74,74,BRED_1,Bredbury
75,75,KEAR_1,Kearsley
76,76,KEAR_3,Kearsley
77,77,MACC_3,Macclesfield
78,78,SMAN_1,South Manchester
79,79,STAL_1,Stalybridge
80,80,WHGA_1,Whitegate
81,81,BLYTB1,Blyth 66kV
82,82,HARM_6,Hart Moor
83,83,HAWP_6,Hawthorn Pit
84,84,LACK_6,Lackenby
85,85,NORT_1,Norton
86,86,OFFE_3,Offerton
87,87,SSHI_3,South Shields
88,88,SPEN_1,Spennymoor
89,89,TYNE_1,Tynemouth
90,90,WBOL_6,West Boldon
91,91,HUTT_1,Hutton
92,92,PADIB1,Padiham
93,93,ROCH_1,Rochdale
94,94,CELL_1,Cellarhead
95,95,LEGA_1,Legacy
96,96,PENT_1,Pentir
97,97,BOLN_1,Bolney
98,98,BOTW_1,Botley Wood
99,99,FAWL_1,Fawley
100,100,FLEE_1,Fleet
101,101,LOVE_1,Lovedean
102,102,NINF_1,Ninfield
103,103,NURS_1,Nursling
104,104,ABTH_1,Aberthaw
105,105,CARE_1,Cardiff East
106,106,IROA1,Iron Acton
107,107,PEMB_1,Pembroke
108,108,RASS_1,Rassau
109,109,SEAB1,Seabank
110,110,SWAN_1,Swansea North
111,111,UPPB_1,Upper Boat
112,112,UPPB_3,Upper Boat
113,113,USKM_1,Uskmouth
114,114,ALST_3,Uskmouth
115,115,WALH_1,Walham
116,116,ABHA1,Abham
117,117,ALVE1,Alverdiscott
118,118,AXMI1,Axminster
119,119,EXET1,Exeter
120,120,INDQ1,Indian Queens
121,121,LAND1,Landulph
122,122,MANN_1,Mannington
123,123,CHTE_1,Chesterfield
124,124,JORD_3,Jordanthorpe
125,125,NEEP_3,Neepsend
126,126,NORL_3,Norton Lees
127,127,SHEC_3,Sheffield City
128,128,THOM_6,Thorpe Marsh
129,129,THUR_6,Thurcroft
130,130,WMEL_1,West Melton
131,131,WIBA_3,Wincobank
132,132,BESW_1,Berkswell
133,133,BISW_1,Bishops Wood
134,134,BUSH_1,Bushbury
135,135,BUST_1,Bustleholme
136,136,COVE_1,Coventry
137,137,DRAK_1,Drakelow
138,138,FECK_6,Feckenham
139,139,IRONB1,Ironbridge
140,140,KITW_1,Kitwell
141,141,HAMHC1,Hams Hall
142,142,OCKH_1,Ocker Hill
143,143,OLDB_1,Oldbury
144,144,PENN_1,Penn
145,145,RUGEB1,Rugeley
146,146,SHRW_1,Shrewsbury
147,147,WIEN_1,Willenhall
148,148,WILL_1,Willington
149,149,BRAW_1,Bradford West
150,150,ELLA_1,Elland
151,151,FERRB1,Ferrybridge (_F)
152,152,FERRA2,Ferrybridge (_M)
153,153,KIRKB1,Kirkstall
154,154,POPP_3,Poppleton
155,155,SKLGB1,Skelton Grange
156,156,COUA_P,Coupar Angus
157,157,MACD_P,Macduff
158,158,MYBS_P,Mybster
159,159,STIR,Stirling
160,160,THSO_P,Thurso
161,161,ABNE_P,Abernethy
162,162,ALNE_P,Alness
163,163,ARBR_P,Arbroath
164,164,ARMO_P,Ardmore
165,165,AYRR,Ayr
166,166,BAIN,Bainsford
167,167,BAGA,Bathgate
168,168,BEAU_P,Beauly
169,169,BERW,Berwick
170,170,BOAG_P,Boat of Garten
171,171,BONN,Bonnybridge
172,172,BRAC_P,Braco West
173,173,BRAP,Braehead Park
174,174,BRID_P,Bridge of Dun
175,175,BROA_P,Broadford
176,176,BROR_P,Brora
177,177,BROX,Broxburn
178,178,BUMU_P,Burghmuir
179,179,CATY,Carntyne
180,180,CAAD_P,Carradale
181,181,WISH,Wishaw
182,182,CASS_P,Cassley
183,183,CEAN_P,Ceannacroc
184,184,CHAP,Chapelcross
185,185,CHAR_P,Charleston
